2023-06-11 22:31:22BE_205: (0ms) 82% NOSLOWDOWN > Soul sandBE_ Distance from/to : 0BE_20539201858882855BE_ WalkSpeed: 0BE_2, VelY: -0BE_0784000015258789BE_ Player version: V1_20BE_ TPS: [20BE_01965208727102, 20BE_0039386398248, 19BE_998356887068763, 19BE_999546668475706]
2023-06-11 22:31:29BE_647: (0ms) 100% NOSLOWDOWN > Soul sandBE_ Distance from/to : 0BE_2893905280067096BE_ WalkSpeed: 0BE_2, VelY: -0BE_0784000015258789BE_ Player version: V1_20BE_ TPS: [19BE_89268456853274, 19BE_992231737134478, 19BE_999274957885255, 19BE_999347906661978]
2023-06-11 22:31:29BE_648: (0ms) 100% NOSLOWDOWN > Soul sandBE_ Distance from/to : 0BE_3084049000907724BE_ WalkSpeed: 0BE_2, VelY: -0BE_0784000015258789BE_ Player version: V1_20BE_ TPS: [19BE_89268456853274, 19BE_992231737134478, 19BE_999274957885255, 19BE_999347906661978]
2023-06-11 22:31:30BE_356: (0ms) 100% NOSLOWDOWN > Soul sandBE_ Distance from/to : 0BE_31335428798725695BE_ WalkSpeed: 0BE_2, VelY: -0BE_0784000015258789BE_ Player version: V1_20BE_ TPS: [19BE_89268456853274, 19BE_992231737134478, 19BE_999274957885255, 19BE_999347906661978]
2023-06-11 22:31:30BE_448: (0ms) 95% NOSLOWDOWN > Soul sandBE_ Distance from/to : 0BE_23911264291124087BE_ WalkSpeed: 0BE_2, VelY: -0BE_0784000015258789BE_ Player version: V1_20BE_ TPS: [19BE_89268456853274, 19BE_992231737134478, 19BE_999274957885255, 19BE_999347906661978]
2023-06-11 22:31:31BE_191: (0ms) 100% NOSLOWDOWN > Soul sandBE_ Distance from/to : 0BE_2799634299332661BE_ WalkSpeed: 0BE_2, VelY: -0BE_0784000015258789BE_ Player version: V1_20BE_ TPS: [19BE_652373724469047, 19BE_987089245429477, 19BE_999358400783137, 19BE_998984997714096]
2023-06-11 22:31:31BE_239: (0ms) 100% NOSLOWDOWN > Soul sandBE_ Distance from/to : 0BE_29641286375594095BE_ WalkSpeed: 0BE_2, VelY: -0BE_0784000015258789BE_ Player version: V1_20BE_ TPS: [19BE_652373724469047, 19BE_987089245429477, 19BE_999358400783137, 19BE_998984997714096]
2023-06-11 22:31:31BE_295: (0ms) 91% NOSLOWDOWN > Soul sandBE_ Distance from/to : 0BE_22980440052360512BE_ WalkSpeed: 0BE_2, VelY: -0BE_0784000015258789BE_ Player version: V1_20BE_ TPS: [19BE_652373724469047, 19BE_987089245429477, 19BE_999358400783137, 19BE_998984997714096]
2023-06-11 22:31:33BE_938: (0ms) 100% NOSLOWDOWN > Soul sandBE_ Distance from/to : 0BE_29098047030683655BE_ WalkSpeed: 0BE_2, VelY: -0BE_0784000015258789BE_ Player version: V1_20BE_ TPS: [19BE_980129737000397, 19BE_999594507221385, 19BE_999556143383987, 19BE_999689867164747]
2023-06-11 22:31:34BE_038: (0ms) 91% NOSLOWDOWN > Soul sandBE_ Distance from/to : 0BE_227950071945601BE_ WalkSpeed: 0BE_2, VelY: -0BE_0784000015258789BE_ Player version: V1_20BE_ TPS: [19BE_980129737000397, 19BE_999594507221385, 19BE_999556143383987, 19BE_999689867164747]
2023-06-11 22:31:41BE_692: (0ms) 81% NOSLOWDOWN > Soul sandBE_ Distance from/to : 0BE_20461791832584195BE_ WalkSpeed: 0BE_2, VelY: -0BE_0784000015258789BE_ Player version: V1_20BE_ TPS: [20BE_052752310278798, 20BE_004664347886756, 20BE_000410315217756, 19BE_99999614980074]
2023-06-11 22:31:51BE_092: (0ms) 93% NOSLOWDOWN > Soul sandBE_ Distance from/to : 0BE_23391091915514067BE_ WalkSpeed: 0BE_2, VelY: -0BE_0784000015258789BE_ Player version: V1_20BE_ TPS: [19BE_680142520600754, 19BE_992951412005425, 19BE_99912664113945, 19BE_998538392178233]
2023-06-11 22:31:51BE_835: (0ms) 100% NOSLOWDOWN > Soul sandBE_ Distance from/to : 0BE_2506858236917129BE_ WalkSpeed: 0BE_2, VelY: -0BE_22768848754498797BE_ Player version: V1_20BE_ TPS: [20BE_0068114590089, 20BE_00034434059509, 19BE_999966522322705, 19BE_99977912961699]
2023-06-11 22:31:51BE_906: (0ms) 100% NOSLOWDOWN > Soul sandBE_ Distance from/to : 0BE_296349264551148BE_ WalkSpeed: 0BE_2, VelY: -0BE_0784000015258789BE_ Player version: V1_20BE_ TPS: [20BE_0068114590089, 20BE_00034434059509, 19BE_999966522322705, 19BE_99977912961699]
2023-06-11 22:31:51BE_906: (0ms) 92% NOSLOWDOWN > Soul sandBE_ Distance from/to : 0BE_23110752216228783BE_ WalkSpeed: 0BE_2, VelY: -0BE_0784000015258789BE_ Player version: V1_20BE_ TPS: [20BE_0068114590089, 20BE_00034434059509, 19BE_999966522322705, 19BE_99977912961699]
2023-06-11 22:31:52BE_499: (0ms) 100% NOSLOWDOWN > Soul sandBE_ Distance from/to : 0BE_2542558811512587BE_ WalkSpeed: 0BE_2, VelY: -0BE_22768848754498797BE_ Player version: V1_20BE_ TPS: [20BE_0068114590089, 20BE_00034434059509, 19BE_999966522322705, 19BE_99977912961699]
2023-06-11 22:31:52BE_637: (0ms) 100% NOSLOWDOWN > Soul sandBE_ Distance from/to : 0BE_2996142296353804BE_ WalkSpeed: 0BE_2, VelY: -0BE_0784000015258789BE_ Player version: V1_20BE_ TPS: [20BE_14738452060704, 20BE_000401413056462, 19BE_999760006413215, 20BE_000134121099418]
2023-06-11 22:31:52BE_637: (0ms) 93% NOSLOWDOWN > Soul sandBE_ Distance from/to : 0BE_23288303523440348BE_ WalkSpeed: 0BE_2, VelY: -0BE_0784000015258789BE_ Player version: V1_20BE_ TPS: [20BE_14738452060704, 20BE_000401413056462, 19BE_999760006413215, 20BE_000134121099418]
2023-06-11 22:31:53BE_137: (0ms) 100% NOSLOWDOWN > Soul sandBE_ Distance from/to : 0BE_2893391926441921BE_ WalkSpeed: 0BE_2, VelY: -0BE_15233518685055708BE_ Player version: V1_20BE_ TPS: [20BE_14738452060704, 20BE_000401413056462, 19BE_999760006413215, 20BE_000134121099418]
2023-06-11 22:31:53BE_232: (0ms) 100% NOSLOWDOWN > Soul sandBE_ Distance from/to : 0BE_30552422162572374BE_ WalkSpeed: 0BE_2, VelY: -0BE_0784000015258789BE_ Player version: V1_20BE_ TPS: [20BE_14738452060704, 20BE_000401413056462, 19BE_999760006413215, 20BE_000134121099418]
2023-06-11 22:31:53BE_299: (0ms) 93% NOSLOWDOWN > Soul sandBE_ Distance from/to : 0BE_23456502126275267BE_ WalkSpeed: 0BE_2, VelY: -0BE_0784000015258789BE_ Player version: V1_20BE_ TPS: [20BE_14738452060704, 20BE_000401413056462, 19BE_999760006413215, 20BE_000134121099418]
2023-06-11 22:32:06BE_137: (0ms) 100% NOSLOWDOWN > Soul sandBE_ Distance from/to : 0BE_31872975967109557BE_ WalkSpeed: 0BE_2, VelY: -0BE_0784000015258789BE_ Player version: V1_20BE_ TPS: [20BE_322059813515867, 19BE_997137873980225, 19BE_998925002584077, 19BE_99975835898622]
2023-06-11 22:32:06BE_138: (0ms) 100% NOSLOWDOWN > Soul sandBE_ Distance from/to : 0BE_3375398269834449BE_ WalkSpeed: 0BE_2, VelY: -0BE_0784000015258789BE_ Player version: V1_20BE_ TPS: [20BE_322059813515867, 19BE_997137873980225, 19BE_998925002584077, 19BE_99975835898622]
2023-06-11 22:32:06BE_267: (0ms) 100% NOSLOWDOWN > Soul sandBE_ Distance from/to : 0BE_2535928991513592BE_ WalkSpeed: 0BE_2, VelY: -0BE_0784000015258789BE_ Player version: V1_20BE_ TPS: [20BE_322059813515867, 19BE_997137873980225, 19BE_998925002584077, 19BE_99975835898622]
2023-06-11 22:32:06BE_267: (0ms) 83% NOSLOWDOWN > Soul sandBE_ Distance from/to : 0BE_2077798127826782BE_ WalkSpeed: 0BE_2, VelY: -0BE_0784000015258789BE_ Player version: V1_20BE_ TPS: [20BE_322059813515867, 19BE_997137873980225, 19BE_998925002584077, 19BE_99975835898622]
2023-06-11 22:32:06BE_933: (0ms) 98% NOSLOWDOWN > Soul sandBE_ Distance from/to : 0BE_24680394344495987BE_ WalkSpeed: 0BE_2, VelY: -0BE_0784000015258789BE_ Player version: V1_20BE_ TPS: [19BE_926967850142724, 19BE_989875661041033, 19BE_99889174694798, 19BE_999207388701766]
2023-06-11 22:32:07BE_0: (0ms) 81% NOSLOWDOWN > Soul sandBE_ Distance from/to : 0BE_20406401593618706BE_ WalkSpeed: 0BE_2, VelY: -0BE_0784000015258789BE_ Player version: V1_20BE_ TPS: [19BE_926967850142724, 19BE_989875661041033, 19BE_99889174694798, 19BE_999207388701766]
2023-06-11 22:32:08BE_121: (0ms) 100% NOSLOWDOWN > Soul sandBE_ Distance from/to : 0BE_2864713430694488BE_ WalkSpeed: 0BE_2, VelY: -0BE_37663049823865513BE_ Player version: V1_20BE_ TPS: [19BE_810573773858206, 19BE_98673349851089, 19BE_996516657855974, 19BE_999099155044576]
2023-06-11 22:32:08BE_122: (0ms) 100% NOSLOWDOWN > Soul sandBE_ Distance from/to : 0BE_305477565133681BE_ WalkSpeed: 0BE_2, VelY: -0BE_37663049823865513BE_ Player version: V1_20BE_ TPS: [19BE_810573773858206, 19BE_98673349851089, 19BE_996516657855974, 19BE_999099155044576]
